# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
2338	3	1710863	734	4.290e-4	1.1223
2339	1	855067	790	9.239e-4	1.2082
2341	1	854335	260	3.043e-4	0.3978
2342	2	853971	466	5.457e-4	0.7131
2343	3	3414426	2449	7.173e-4	3.7487
2345	3	3411513	-1966	-5.763e-4	-3.0106
2346	4	3410060	1991	5.839e-4	3.0495
2347	1	852151	60	7.041e-5	0.0919
2351	1	850701	-376	-4.420e-4	-0.5765
2353	2	1699958	663	3.900e-4	1.0170
2354	3	1699235	-1282	-7.545e-4	-1.9669
2355	3	3397028	-5737	-1.689e-3	-8.8040
2357	1	848537	756	8.909e-4	1.1607
2359	2	1695634	-553	-3.261e-4	-0.8494
2361	2	1694198	935	5.519e-4	1.4367
2362	2	846741	-988	-1.167e-3	-1.5184
2363	2	1692763	1196	7.065e-4	1.8385
2365	3	3382663	1500	4.434e-4	2.3068
2369	2	1688477	-1070	-6.337e-4	-1.6469
2370	4	3375527	1146	3.395e-4	1.7642
2371	1	843525	-490	-5.809e-4	-0.7545
2373	3	3371260	-1505	-4.464e-4	-2.3184
2374	2	842459	-530	-6.291e-4	-0.8166
2377	1	841397	306	3.637e-4	0.4718
2378	3	1682086	-163	-9.690e-5	-0.2514
2379	3	3362757	-524	-1.558e-4	-0.8082
2381	1	839983	502	5.976e-4	0.7746
2382	3	1679261	-1988	-1.184e-3	-3.0682
2383	1	839279	1508	1.797e-3	2.3279
2386	2	838223	-634	-7.564e-4	-0.9793
2387	3	3351487	-2088	-6.230e-4	-3.2259
2389	1	837171	660	7.884e-4	1.0201
2390	3	1673641	-370	-2.211e-4	-0.5720
2391	2	1672941	292	1.745e-4	0.4515
2393	1	835771	64	7.658e-5	0.0990
2395	2	1670146	1111	6.652e-4	1.7194
2397	3	3337505	-488	-1.462e-4	-0.7555
2398	3	1668058	449	2.692e-4	0.6953
2399	1	833681	-720	-8.636e-4	-1.1152
2402	2	832639	556	6.678e-4	0.8617
2405	3	3326404	-2689	-8.084e-4	-4.1701
2406	3	1662510	387	2.328e-4	0.6003
2407	2	1661819	536	3.225e-4	0.8316
2409	3	3320881	-3010	-9.064e-4	-4.6718
2410	3	1659750	375	2.259e-4	0.5822
2411	1	829531	-156	-1.881e-4	-0.2422
2413	2	1657687	-984	-5.936e-4	-1.5285
2414	3	1657001	-974	-5.878e-4	-1.5133
2415	4	6625259	-3426	-5.171e-4	-5.3241
2417	1	827473	130	1.571e-4	0.2021
2418	4	3308519	1432	4.328e-4	2.2267
2419	2	1653575	-2640	-1.597e-3	-4.1060
2422	3	1651527	-846	-5.123e-4	-1.3166
2423	1	825423	748	9.062e-4	1.1643
2426	2	824403	592	7.181e-4	0.9221
2427	2	1648125	-304	-1.845e-4	-0.4736
2429	2	1646769	1300	7.894e-4	2.0261
2431	3	3290827	-876	-2.662e-4	-1.3658
2433	2	1644061	-230	-1.399e-4	-0.3588
2434	2	821693	-516	-6.280e-4	-0.8050
2435	2	1642710	-1377	-8.382e-4	-2.1487
2437	1	820681	486	5.922e-4	0.7587
2438	3	1640689	1210	7.375e-4	1.8893
2441	1	819337	1364	1.665e-3	2.1311
2442	4	3276004	897	2.738e-4	1.4017
2443	2	1637331	-82	-5.008e-5	-0.1282
2445	3	3271983	-414	-1.265e-4	-0.6474
2446	2	817661	-1450	-1.773e-3	-2.2678
2447	1	817327	190	2.325e-4	0.2972
2449	2	1633319	-1698	-1.040e-3	-2.6572
2451	3	3263974	1521	4.660e-4	2.3812
2453	2	1630657	-790	-4.845e-4	-1.2373
2454	3	1629991	600	3.681e-4	0.9399
2455	2	1629327	-428	-2.627e-4	-0.6706
2458	2	813669	-688	-8.456e-4	-1.0786
2459	1	813339	-224	-2.754e-4	-0.3513
2461	2	1625355	1612	9.918e-4	2.5288
2462	2	812347	42	5.170e-5	0.0659
2463	2	1624035	-1688	-1.039e-3	-2.6491
2465	3	3245436	743	2.289e-4	1.1665
2467	1	810701	326	4.021e-4	0.5120
2469	2	1620089	942	5.814e-4	1.4802
2470	4	3238866	215	6.638e-5	0.3379
2471	2	1618778	-1091	-6.740e-4	-1.7150
2473	1	808735	602	7.444e-4	0.9467
2474	2	808407	-1358	-1.680e-3	-2.1360
2477	1	807429	-710	-8.793e-4	-1.1174
2478	4	3228410	-2375	-7.357e-4	-3.7386
2479	2	1613554	-553	-3.427e-4	-0.8707
2481	2	1612253	846	5.247e-4	1.3326
2482	3	1611603	-712	-4.418e-4	-1.1217
2483	2	1610955	1122	6.965e-4	1.7680
2485	3	3219316	2527	7.849e-4	3.9835
2486	3	1609010	-939	-5.836e-4	-1.4805
2487	2	1608363	-1458	-9.065e-4	-2.2993
2489	2	1607070	247	1.537e-4	0.3897
2490	4	3212852	1741	5.419e-4	2.7473
2491	2	1605781	-1204	-7.498e-4	-1.9003
2494	3	1603850	-435	-2.712e-4	-0.6870
2495	2	1603207	766	4.778e-4	1.2099
2497	2	1601923	-570	-3.558e-4	-0.9007
2498	2	800641	-254	-3.172e-4	-0.4014
2501	2	1599361	478	2.989e-4	0.7559
2503	1	799041	132	1.652e-4	0.2088
2505	3	3193612	-19	-5.949e-6	-0.0301
2506	3	1596170	-553	-3.465e-4	-0.8754
2507	2	1595533	-990	-6.205e-4	-1.5675
2509	2	1594262	-1337	-8.386e-4	-2.1178
2510	3	1593626	2149	1.348e-3	3.4047
2513	2	1591722	317	1.992e-4	0.5025
2514	3	1591090	1405	8.830e-4	2.2277
2515	2	1590458	-2223	-1.398e-3	-3.5254
2517	2	1589194	759	4.776e-4	1.2042
2518	2	794281	-602	-7.579e-4	-0.9553
2519	2	1587931	-2332	-1.469e-3	-3.7012
2521	1	793335	786	9.908e-4	1.2480
2522	3	1586042	-727	-4.584e-4	-1.1545
2526	3	1583531	-268	-1.692e-4	-0.4259
2530	4	3162055	968	3.061e-4	1.5397
2531	1	790201	66	8.352e-5	0.1050
2533	2	1579155	570	3.610e-4	0.9072
2534	3	1578531	284	1.799e-4	0.4521
2537	2	1576665	-362	-2.296e-4	-0.5766
2539	1	787711	1168	1.483e-3	1.8611
2542	3	1573565	1336	8.490e-4	2.1301
2543	1	786473	304	3.865e-4	0.4848
2545	2	1571709	604	3.843e-4	0.9636
2546	3	1571091	380	2.419e-4	0.6063
2549	1	784621	944	1.203e-3	1.5072
2551	1	784007	602	7.679e-4	0.9615
2553	3	3133569	-1202	-3.836e-4	-1.9206
2554	2	783085	-102	-1.303e-4	-0.1630
2555	3	3131116	-1663	-5.311e-4	-2.6582
2557	1	782167	1000	1.278e-3	1.5991
2558	2	781861	372	4.758e-4	0.5950
2559	2	1563110	-917	-5.867e-4	-1.4669
2561	2	1561890	-1901	-1.217e-3	-3.0422
2562	4	3122561	512	1.640e-4	0.8195
2563	2	1560670	-607	-3.889e-4	-0.9718
2566	2	779423	-62	-7.955e-5	-0.0993
2567	2	1558238	-1007	-6.462e-4	-1.6134
2569	2	1557026	881	5.658e-4	1.4121
2570	3	1556421	-1524	-9.792e-4	-2.4432
2571	2	1555815	-202	-1.298e-4	-0.3239
2573	2	1554606	-95	-6.111e-5	-0.1524
2577	2	1552193	864	5.566e-4	1.3870
2578	2	775795	208	2.681e-4	0.3340
2579	1	775495	358	4.616e-4	0.5749
2581	2	1549786	1877	1.211e-3	3.0155
2582	2	774593	-1538	-1.986e-3	-2.4714
2585	3	3094777	1852	5.984e-4	2.9776
2586	3	1546790	-143	-9.245e-5	-0.2300
2587	2	1546193	-392	-2.535e-4	-0.6305
2589	2	1544998	2361	1.528e-3	3.7989
2590	4	3088803	-3778	-1.223e-3	-6.0801
2591	1	771903	1198	1.552e-3	1.9284
2593	1	771307	-62	-8.038e-5	-0.0998
2594	2	771011	84	1.089e-4	0.1353
2595	3	3082852	-1307	-4.240e-4	-2.1054
2598	3	1539646	-1457	-9.463e-4	-2.3484
2599	2	1539054	-1655	-1.075e-3	-2.6681
2602	2	768639	-46	-5.985e-5	-0.0742
2603	2	1536689	0	0.000e0	0.0000
2605	2	1535509	1168	7.607e-4	1.8852
2606	2	767459	-2548	-3.320e-3	-4.1133
2607	3	3068661	-848	-2.763e-4	-1.3692
2609	1	766577	622	8.114e-4	1.0047
2611	2	1531981	-1194	-7.794e-4	-1.9293
2613	3	3061615	3428	1.120e-3	5.5413
2614	2	765111	-1062	-1.388e-3	-1.7170
2615	2	1529637	-1798	-1.175e-3	-2.9075
2617	1	764233	384	5.025e-4	0.6212
2618	4	3055767	898	2.939e-4	1.4530
2621	1	763067	1550	2.031e-3	2.5094
2622	4	3051106	1199	3.930e-4	1.9415
2623	2	1524971	-1214	-7.961e-4	-1.9662
2626	3	1523230	415	2.724e-4	0.6725
2627	2	1522650	-153	-1.005e-4	-0.2480
2629	2	1521491	902	5.928e-4	1.4625
2630	3	1520913	-2740	-1.802e-3	-4.4435
2631	2	1520334	-1125	-7.400e-4	-1.8248
2633	1	759589	154	2.027e-4	0.2499
2634	3	1518603	-1716	-1.130e-3	-2.7850
2635	3	3036052	1001	3.297e-4	1.6249
2638	2	758151	142	1.873e-4	0.2306
2639	3	3031451	2538	8.372e-4	4.1230
2641	2	1514578	-307	-2.027e-4	-0.4989
2642	2	757003	92	1.215e-4	0.1495
2643	2	1513431	2308	1.525e-3	3.7522
2647	1	755573	20	2.647e-5	0.0325
2649	2	1510003	-214	-1.417e-4	-0.3483
2651	2	1508865	-310	-2.055e-4	-0.5047
2653	2	1507727	22	1.459e-5	0.0358
2654	2	753579	-914	-1.213e-3	-1.4890
2657	1	752729	370	4.915e-4	0.6031
2658	3	1504891	1742	1.158e-3	2.8400
2659	1	752163	692	9.200e-4	1.1284
2661	2	1503194	1727	1.149e-3	2.8172
2663	1	751033	510	6.791e-4	0.8323
2665	3	3001876	1367	4.554e-4	2.2316
2666	3	1500375	-1610	-1.073e-3	-2.6288
2667	3	2999626	3769	1.256e-3	6.1551
2669	2	1498689	-2116	-1.412e-3	-3.4569
2670	4	2996254	2803	9.355e-4	4.5801
2671	1	748783	404	5.395e-4	0.6603
2674	3	1495887	1230	8.223e-4	2.0113
2677	1	747105	454	6.077e-4	0.7428
2678	3	1493651	1526	1.022e-3	2.4972
2679	3	2986189	-830	-2.779e-4	-1.3585
2681	2	1491982	-525	-3.519e-4	-0.8596
2683	1	745435	316	4.239e-4	0.5176
2685	3	2979516	3735	1.254e-3	6.1202
2686	3	1489202	-349	-2.344e-4	-0.5720
2687	1	744325	764	1.026e-3	1.2524
2689	1	743771	28	3.765e-5	0.0459
2690	3	1486990	979	6.584e-4	1.6057
2693	1	742667	602	8.106e-4	0.9879
2694	3	1484781	1760	1.185e-3	2.8888
2697	3	2966260	-95	-3.203e-5	-0.1560
2698	3	1482579	2198	1.483e-3	3.6103
2699	1	741015	-28	-3.779e-5	-0.0460
2701	2	1480934	-749	-5.058e-4	-1.2310
2702	3	1480385	836	5.647e-4	1.3742
2703	3	2959674	997	3.369e-4	1.6391
2705	2	1478743	1168	7.899e-4	1.9210
2706	4	2956394	467	1.580e-4	0.7682
2707	1	738825	1216	1.646e-3	2.0007
2710	3	1476014	3207	2.173e-3	5.2794
2711	1	737735	680	9.217e-4	1.1196
2713	1	737191	1290	1.750e-3	2.1248
2714	3	1473839	-40	-2.714e-5	-0.0659
2715	3	2946593	478	1.622e-4	0.7876
2717	3	2944424	1853	6.293e-4	3.0544
2719	1	735565	834	1.134e-3	1.3752
2721	2	1470047	-112	-7.619e-5	-0.1847
2722	2	734753	-718	-9.772e-4	-1.1846
2723	2	1468969	-854	-5.814e-4	-1.4092
2726	3	1467351	1242	8.464e-4	2.0506
2729	1	732869	314	4.285e-4	0.5187
2730	5	5860806	-4297	-7.332e-4	-7.0998
2731	1	732333	14	1.912e-5	0.0231
2733	2	1463593	-604	-4.127e-4	-0.9985
2734	2	731529	-1574	-2.152e-3	-2.6026
2735	2	1462522	-1303	-8.909e-4	-2.1549
2737	3	2922909	-1592	-5.447e-4	-2.6338
2739	3	2920774	963	3.297e-4	1.5938
2741	1	729661	1018	1.395e-3	1.6854
2742	3	1458789	-1212	-8.308e-4	-2.0069
2743	2	1458257	-1560	-1.070e-3	-2.5837
2746	2	728333	-462	-6.343e-4	-0.7656
2747	2	1456134	-513	-3.523e-4	-0.8503
2749	1	727537	1160	1.594e-3	1.9233
2751	3	2908033	-1172	-4.030e-4	-1.9439
2753	1	726481	-268	-3.689e-4	-0.4447
2755	3	2903812	-1415	-4.873e-4	-2.3486
2757	2	1450853	-812	-5.597e-4	-1.3483
2758	3	1450326	-639	-4.406e-4	-1.0612
2759	2	1449801	558	3.849e-4	0.9269
2761	2	1448750	-5	-3.451e-6	-0.0083
2762	2	724113	-158	-2.182e-4	-0.2626
2765	3	2893309	3646	1.260e-3	6.0627
2766	3	1446131	300	2.075e-4	0.4989
2767	1	722805	324	4.483e-4	0.5390
2769	3	2889129	-2500	-8.653e-4	-4.1601
2770	3	1444043	1094	7.576e-4	1.8208
2771	2	1443522	-449	-3.110e-4	-0.7474
2773	2	1442482	-1487	-1.031e-3	-2.4762
2774	3	1441961	-772	-5.354e-4	-1.2858
2777	1	720201	12	1.666e-5	0.0200
2778	3	1439885	-752	-5.223e-4	-1.2534
2779	2	1439366	593	4.120e-4	0.9886
2782	3	1437814	1555	1.082e-3	2.5936
2785	2	1436266	-2697	-1.878e-3	-4.5008
2786	3	1435750	837	5.830e-4	1.3971
2787	2	1435235	1268	8.835e-4	2.1168
2789	1	717103	178	2.482e-4	0.2973
2791	1	716589	1398	1.951e-3	2.3355
2794	3	1431638	-519	-3.625e-4	-0.8675
2795	3	2862254	-2073	-7.243e-4	-3.4657
2797	1	715051	-430	-6.014e-4	-0.7191
2798	2	714797	-662	-9.261e-4	-1.1073
2801	1	714031	-234	-3.277e-4	-0.3916
2802	3	1427551	-316	-2.214e-4	-0.5290
2803	1	713521	820	1.149e-3	1.3729
2805	4	5704099	2334	4.092e-4	3.9090
2806	3	1425518	2363	1.658e-3	3.9583
2807	2	1425010	179	1.256e-4	0.2999
2810	3	1423487	990	6.955e-4	1.6595
2811	2	1422981	-1360	-9.557e-4	-2.2802
2813	2	1421970	-1181	-8.305e-4	-1.9808
2814	4	2842929	124	4.362e-5	0.2080
2815	2	1420958	-2431	-1.711e-3	-4.0787
2818	2	709723	-532	-7.496e-4	-0.8931
2819	1	709471	964	1.359e-3	1.6185
2821	3	2835874	-887	-3.128e-4	-1.4898
2822	3	1417435	2424	1.710e-3	4.0720
2823	2	1416933	-514	-3.628e-4	-0.8636
2827	2	1414927	-2392	-1.691e-3	-4.0218
2829	3	2827854	-317	-1.121e-4	-0.5332
2830	3	1413427	-1012	-7.160e-4	-1.7024
2831	2	1412929	-626	-4.431e-4	-1.0533
2833	1	705965	-96	-1.360e-4	-0.1616
2834	3	1411433	-700	-4.959e-4	-1.1784
2837	1	704971	544	7.717e-4	0.9163
2838	4	2818887	-678	-2.405e-4	-1.1422
2839	2	1408946	203	1.441e-4	0.3420
2841	2	1407955	878	6.236e-4	1.4799
2843	1	703483	-8	-1.137e-5	-0.0135
2845	2	1405975	2662	1.893e-3	4.4900
2846	2	702741	-1338	-1.904e-3	-2.2572
2847	3	2809975	-2242	-7.979e-4	-3.7829
2849	3	2808003	796	2.835e-4	1.3436
2851	1	701509	442	6.301e-4	0.7463
2854	2	700771	-158	-2.255e-4	-0.2669
2855	2	1401051	538	3.840e-4	0.9090
2857	1	700035	192	2.743e-4	0.3245
2858	2	699791	-1002	-1.432e-3	-1.6939
2859	2	1399090	-57	-4.074e-5	-0.0964
2861	1	699057	518	7.410e-4	0.8762
2863	2	1397135	-1188	-8.503e-4	-2.0101
2865	3	2792321	1324	4.742e-4	2.2410
2866	2	697837	-1498	-2.147e-3	-2.5360
2867	2	1395187	-154	-1.104e-4	-0.2608
2869	2	1394214	2101	1.507e-3	3.5587
2870	4	2787457	3418	1.226e-3	5.7905
2874	3	1391789	1270	9.125e-4	2.1530
2877	3	2780675	710	2.553e-4	1.2043
2878	2	694927	-592	-8.519e-4	-1.0043
2879	1	694685	1114	1.604e-3	1.8902
2881	2	1388407	-448	-3.227e-4	-0.7604
2882	3	1387926	873	6.290e-4	1.4820
2885	2	1386482	-299	-2.157e-4	-0.5079
2886	4	2772003	-2814	-1.015e-3	-4.7805
2887	1	692761	640	9.238e-4	1.0874
2893	2	1382647	-576	-4.166e-4	-0.9797
2894	2	691085	-490	-7.090e-4	-0.8336
2895	3	2763386	-493	-1.784e-4	-0.8388
2897	1	690369	630	9.126e-4	1.0723
2899	2	1379786	-1555	-1.127e-3	-2.6476
2901	2	1378835	-76	-5.512e-5	-0.1294
2902	2	689179	128	1.857e-4	0.2181
2903	1	688943	170	2.468e-4	0.2896
2905	3	2753873	-3382	-1.228e-3	-5.7643
2906	2	688231	-978	-1.421e-3	-1.6672
2909	1	687521	912	1.327e-3	1.5555
2910	4	2749140	-1951	-7.097e-4	-3.3282
2911	2	1374098	-249	-1.812e-4	-0.4248
2913	2	1373155	566	4.122e-4	0.9660
2914	3	1372682	2909	2.119e-3	4.9658
2915	3	2744426	1275	4.646e-4	2.1769
2917	1	685635	366	5.338e-4	0.6251
2918	2	685401	16	2.334e-5	0.0273
2919	3	2740665	190	6.933e-5	0.3246
2921	2	1369394	-805	-5.879e-4	-1.3758
2922	3	1368926	-189	-1.381e-4	-0.3231
2923	2	1368458	539	3.939e-4	0.9215
2926	4	2734108	1477	5.402e-4	2.5265
2927	1	683293	38	5.561e-5	0.0650
2929	2	1365654	577	4.225e-4	0.9875
2930	3	1365187	-918	-6.724e-4	-1.5714
2931	2	1364722	1727	1.265e-3	2.9567
2933	2	1363791	-266	-1.950e-4	-0.4556
2935	2	1362862	-1213	-8.900e-4	-2.0781
2937	3	2723868	-727	-2.669e-4	-1.2459
2938	3	1361470	1385	1.017e-3	2.3740
2939	1	680503	612	8.993e-4	1.0492
2941	2	1360082	-87	-6.397e-5	-0.1492
2942	2	679809	-348	-5.119e-4	-0.5969
2945	3	2716468	-2133	-7.852e-4	-3.6604
2946	3	1357773	94	6.923e-5	0.1613
2947	2	1357313	1300	9.578e-4	2.2317
2949	2	1356392	1	7.372e-7	0.0017
2951	2	1355473	-2120	-1.564e-3	-3.6418
2953	1	677277	242	3.573e-4	0.4159
2954	3	1354097	170	1.255e-4	0.2922
2955	3	2707276	-1167	-4.311e-4	-2.0061
2957	1	676361	106	1.567e-4	0.1823
2958	4	2704530	-2801	-1.036e-3	-4.8174
2959	2	1351809	-176	-1.302e-4	-0.3028
2962	2	675219	-664	-9.834e-4	-1.1428
2963	1	674991	1024	1.517e-3	1.7626
2965	2	1349073	-1358	-1.007e-3	-2.3384
2966	2	674309	24	3.559e-5	0.0413
2967	3	2696327	-1818	-6.743e-4	-3.1315
2969	1	673627	102	1.514e-4	0.1758
2971	1	673175	938	1.393e-3	1.6168
2973	2	1345442	-183	-1.360e-4	-0.3155
2974	2	672495	-1024	-1.523e-3	-1.7659
2977	2	1343634	-281	-2.091e-4	-0.4848
2978	2	671591	-176	-2.621e-4	-0.3037
2981	2	1341831	-82	-6.111e-5	-0.1416
2982	4	2682764	-209	-7.790e-5	-0.3609
2983	2	1340931	-672	-5.011e-4	-1.1606
2985	3	2680067	-936	-3.492e-4	-1.6171
2986	2	669793	68	1.015e-4	0.1175
2987	2	1339137	578	4.316e-4	0.9990
2990	4	2675585	-1092	-4.081e-4	-1.8882
2991	2	1337346	43	3.215e-5	0.0744
2993	2	1336451	166	1.242e-4	0.2872
2994	3	1336006	-53	-3.967e-5	-0.0917
2995	2	1335559	1524	1.141e-3	2.6374
2998	2	667111	-940	-1.409e-3	-1.6276
2999	1	666889	240	3.599e-4	0.4156
3001	1	666445	696	1.044e-3	1.2057
3002	3	1332445	888	6.664e-4	1.5386
3003	4	5328006	-2639	-4.953e-4	-4.5732
3005	2	1331115	658	4.943e-4	1.1406
3007	2	1330229	-428	-3.217e-4	-0.7422
3009	3	2658690	-229	-8.613e-5	-0.3972
3010	4	2657807	-2500	-9.406e-4	-4.3373
3011	1	664231	152	2.288e-4	0.2638
3013	2	1327581	-10	-7.532e-6	-0.0174
3014	3	1327141	554	4.174e-4	0.9618
3017	2	1325821	-276	-2.082e-4	-0.4794
3018	3	1325381	-762	-5.749e-4	-1.3238
3019	1	662471	264	3.985e-4	0.4587
3021	3	2648130	1205	4.550e-4	2.0944
3022	2	661813	-1074	-1.623e-3	-1.8670
3023	1	661595	266	4.021e-4	0.4625
3026	3	1321878	915	6.922e-4	1.5917
3027	2	1321441	-446	-3.375e-4	-0.7760
3029	2	1320567	114	8.633e-5	0.1984
3030	4	2640265	3114	1.179e-3	5.4205
3031	2	1319697	-226	-1.713e-4	-0.3935
3034	3	1318391	210	1.593e-4	0.3658
3035	2	1317958	-441	-3.346e-4	-0.7683
3037	1	658545	606	9.202e-4	1.0561
3039	2	1316222	1389	1.055e-3	2.4214
3041	1	657679	604	9.184e-4	1.0533
3043	2	1314493	790	6.010e-4	1.3781
3045	4	5254515	2946	5.607e-4	5.1407
3046	2	656599	-1410	-2.147e-3	-2.4608
3047	2	1312766	71	5.408e-5	0.1239
3049	1	655953	1360	2.073e-3	2.3747
3053	2	1310186	395	3.015e-4	0.6902
3054	3	1309758	-921	-7.032e-4	-1.6095
3055	3	2618658	-2219	-8.474e-4	-3.8785
3057	2	1308473	1748	1.336e-3	3.0563
3058	3	1308045	968	7.400e-4	1.6928
3059	3	2615234	527	2.015e-4	0.9217
3061	1	653381	924	1.414e-3	1.6166
3062	2	653167	-642	-9.829e-4	-1.1234
3063	2	1305909	852	6.524e-4	1.4911
3065	2	1305058	-1005	-7.701e-4	-1.7595
3066	4	2609262	-61	-2.338e-5	-0.1068
3067	1	652103	956	1.466e-3	1.6742
3070	3	1302931	-1586	-1.217e-3	-2.7789
3071	2	1302507	-984	-7.555e-4	-1.7244
3073	2	1301659	-1158	-8.896e-4	-2.0300
3074	3	1301237	352	2.705e-4	0.6172
3077	2	1299967	-1532	-1.178e-3	-2.6873
3079	1	649561	-264	-4.064e-4	-0.4632
3081	3	2596558	335	1.290e-4	0.5880
3082	3	1297859	1936	1.492e-3	3.3988
3083	1	648719	574	8.848e-4	1.0079
3085	2	1296597	-898	-6.926e-4	-1.5773
3086	2	648089	160	2.469e-4	0.2811
3089	1	647459	436	6.734e-4	0.7663
3090	4	2588997	-1958	-7.563e-4	-3.4418
3091	2	1294079	-14	-1.082e-5	-0.0246
3093	2	1293243	1892	1.463e-3	3.3274
3094	4	2585650	2197	8.497e-4	3.8645
3095	2	1292407	570	4.410e-4	1.0028
3097	2	1291573	1774	1.374e-3	3.1219
3098	2	645577	-1186	-1.837e-3	-2.0875
3099	2	1290739	-146	-1.131e-4	-0.2570
3101	2	1289906	473	3.667e-4	0.8329
3102	4	2578981	-1196	-4.637e-4	-2.1065
3103	2	1289074	53	4.111e-5	0.0934
3106	2	643915	202	3.137e-4	0.3560
3107	2	1287415	58	4.505e-5	0.1022
3109	1	643293	358	5.565e-4	0.6312
3110	3	1286174	3181	2.473e-3	5.6098
3111	3	2571521	18	7.000e-6	0.0317
3113	2	1284934	771	6.000e-4	1.3603
3115	3	2568218	291	1.133e-4	0.5136
3117	2	1283285	-38	-2.961e-5	-0.0671
3118	2	641437	-198	-3.087e-4	-0.3496
3119	1	641231	228	3.556e-4	0.4027
3121	1	640821	718	1.120e-3	1.2684
3122	3	1281230	1251	9.764e-4	2.2104
3126	3	1279590	941	7.354e-4	1.6637
3127	2	1279181	-2436	-1.904e-3	-4.3077
3129	3	2556726	727	2.843e-4	1.2860
3130	3	1277955	-1812	-1.418e-3	-3.2058
3131	2	1277547	-596	-4.665e-4	-1.0546
3133	2	1276731	-1092	-8.553e-4	-1.9329
3134	2	638163	-990	-1.551e-3	-1.7526
3135	4	5103669	-174	-3.409e-5	-0.3081
3137	1	637551	1046	1.641e-3	1.8526
3138	3	1274697	-202	-1.585e-4	-0.3578
3139	2	1274291	940	7.377e-4	1.6654
3142	2	636537	-112	-1.760e-4	-0.1985
3143	2	1272670	469	3.685e-4	0.8315
3145	3	2543721	-1988	-7.815e-4	-3.5255
3147	2	1271051	1262	9.929e-4	2.2388
3149	2	1270245	344	2.708e-4	0.6104
3151	2	1269438	-1153	-9.083e-4	-2.0467
3153	2	1268633	-776	-6.117e-4	-1.3779
3154	3	1268231	-702	-5.535e-4	-1.2467
3155	2	1267829	1678	1.324e-3	2.9805
3157	3	2534051	-828	-3.267e-4	-1.4712
3158	2	633313	42	6.632e-5	0.0746
3161	2	1265422	329	2.600e-4	0.5849
3162	4	2530044	405	1.601e-4	0.7202
3163	1	632311	1344	2.126e-3	2.3903
3165	3	2527645	1766	6.987e-4	3.1418
3166	2	631711	-246	-3.894e-4	-0.4377
3167	1	631513	-132	-2.090e-4	-0.2349
3169	1	631113	582	9.222e-4	1.0361
3170	3	1261830	-3477	-2.756e-3	-6.1906
3171	3	2522863	748	2.965e-4	1.3320
3173	2	1260637	1020	8.091e-4	1.8169
3178	3	1258654	663	5.268e-4	1.1819
3181	1	628733	496	7.889e-4	0.8846
3182	3	1257070	-637	-5.067e-4	-1.1363
3183	2	1256677	1194	9.501e-4	2.1302
3187	1	627549	364	5.800e-4	0.6498
3189	2	1254311	842	6.713e-4	1.5036
3190	4	2507837	-1894	-7.552e-4	-3.3828
3191	1	626763	464	7.403e-4	0.8289
3193	2	1252741	-502	-4.007e-4	-0.8970
3194	2	626175	-552	-8.815e-4	-0.9865
3197	2	1251174	-59	-4.716e-5	-0.1055
3198	4	2501563	330	1.319e-4	0.5901
3199	2	1250390	771	6.166e-4	1.3790
3201	3	2499220	-3517	-1.407e-3	-6.2924
3202	2	624609	-394	-6.308e-4	-0.7050
3203	1	624415	258	4.132e-4	0.4617
3205	2	1248050	1399	1.121e-3	2.5046
3206	3	1247661	724	5.803e-4	1.2963
3207	2	1247271	-652	-5.227e-4	-1.1676
3209	1	623247	706	1.133e-3	1.2647
3210	4	2492212	515	2.066e-4	0.9227
3214	2	622277	974	1.565e-3	1.7462
3215	2	1244167	-600	-4.823e-4	-1.0758
3217	1	621697	0	0.000e0	0.0000
3218	2	621505	-1044	-1.680e-3	-1.8728
3219	3	2485244	-133	-5.352e-5	-0.2386
3221	1	620925	-280	-4.509e-4	-0.5025
3223	2	1241079	536	4.319e-4	0.9623
3226	2	619963	602	9.710e-4	1.0813
3227	2	1239542	691	5.575e-4	1.2413
3229	1	619387	666	1.075e-3	1.1968
3230	4	2476780	1593	6.432e-4	2.8630
3233	2	1237241	-718	-5.803e-4	-1.2910
3235	2	1236477	-1976	-1.598e-3	-3.5541
3237	3	2471425	824	3.334e-4	1.4825
3238	2	617665	504	8.160e-4	0.9069
3239	2	1234949	1306	1.058e-3	2.3504
3241	2	1234187	236	1.912e-4	0.4249
3242	2	616903	-988	-1.602e-3	-1.7789
3243	3	2466852	583	2.363e-4	1.0499
3245	3	2465331	1100	4.462e-4	1.9815
3246	3	1232286	429	3.481e-4	0.7729
3247	2	1231907	-234	-1.899e-4	-0.4217
3251	1	615195	-1092	-1.775e-3	-1.9689
3253	1	614817	524	8.523e-4	0.9451
3254	2	614629	-772	-1.256e-3	-1.3926
3255	4	4915514	1139	2.317e-4	2.0549
3257	1	614063	-240	-3.908e-4	-0.4331
3259	1	613685	-474	-7.724e-4	-0.8557
3261	2	1226618	1119	9.123e-4	2.0207
3262	3	1226241	-552	-4.502e-4	-0.9970
