# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
1290	4	6201551	-3506	-5.653e-4	-3.9821
1291	1	1549187	102	6.584e-5	0.1159
1293	2	3093581	-26	-8.404e-6	-0.0296
1294	2	1545595	-1410	-9.123e-4	-1.6039
1295	3	6177606	-4467	-7.231e-4	-5.0834
1297	1	1542021	144	9.338e-5	0.1640
1298	3	3081665	1086	3.524e-4	1.2373
1299	2	3079291	2	6.495e-7	0.0023
1301	1	1537279	728	4.736e-4	0.8304
1302	4	6144394	-1131	-1.841e-4	-1.2905
1303	1	1534919	-1660	-1.081e-3	-1.8949
1306	2	1531393	22	1.437e-5	0.0251
1307	1	1530221	-462	-3.019e-4	-0.5282
1309	3	6111535	3064	5.013e-4	3.5056
1310	3	3053434	1839	6.023e-4	2.1048
1311	3	6102212	365	5.981e-5	0.4179
1313	2	3046459	-126	-4.136e-5	-0.1444
1315	2	3041826	-3841	-1.263e-3	-4.4046
1317	2	3037206	-1389	-4.573e-4	-1.5940
1318	2	1517451	-1746	-1.151e-3	-2.0045
1319	1	1516301	72	4.748e-5	0.0827
1321	1	1514005	786	5.192e-4	0.9034
1322	2	1512859	976	6.451e-4	1.1222
1326	4	6033182	-3173	-5.259e-4	-3.6538
1327	1	1507159	322	2.136e-4	0.3709
1329	2	3009782	4549	1.511e-3	5.2442
1330	4	6015038	3865	6.426e-4	4.4573
1333	2	3000750	-1053	-3.509e-4	-1.2157
1334	3	2998502	1333	4.446e-4	1.5396
1335	3	5992509	2606	4.349e-4	3.0110
1337	2	2991774	1563	5.224e-4	1.8073
1338	3	2989537	-1528	-5.111e-4	-1.7675
1339	2	2987303	778	2.604e-4	0.9003
1342	3	2980626	207	6.945e-5	0.2398
1343	2	2978406	-717	-2.407e-4	-0.8309
1345	2	2973978	-909	-3.057e-4	-1.0542
1346	2	1485885	362	2.436e-4	0.4200
1347	2	2969562	1457	4.906e-4	1.6910
1349	2	2965159	584	1.970e-4	0.6783
1351	2	2960770	1367	4.617e-4	1.5889
1353	3	5912787	-914	-1.546e-4	-1.0632
1354	2	1477105	-996	-6.743e-4	-1.1590
1355	2	2952029	4342	1.471e-3	5.0543
1357	2	2947679	-1506	-5.109e-4	-1.7543
