X,U,V,M,N,d_min,d_max,r_min,r_max,interval_convention,log_M_over_log_X,log_N_over_log_X,factor_pairs,nonzero_terms,positive_terms,negative_terms,positive_sum,negative_sum,signed_sum,absolute_sum,shifted_proper_prime_power_signed,shifted_proper_prime_power_absolute,non_squarefree_r_nonzero_terms,distinct_d_nonzero_terms,distinct_r_nonzero_terms,signed_sum_over_CX,applicable_proved_lower_bound,exact_coefficient_sha256,source_commit,script_sha256,binary_hash_sha256,arithmetic_precision
1000,3,3,16,64,17,32,65,128,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.4013733275519749,0.6020599913279624,326,24,9,15,282.4855712409735,-419.6842862780476,-137.19871503707407,702.1698575190211,-15.93293033397644,15.93293033397644,2,4,17,-0.1039129435720791,,eaddb6714da0930253b2397b54dc821c52e26d18ba86799961a565d0c3f17c52,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,32,8,33,64,9,16,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.5017166594399687,0.3010299956639812,2,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,32,16,33,64,17,32,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.5017166594399687,0.4013733275519749,350,18,7,11,161.1773725878165,-219.50809560708015,-58.330723019263644,380.68546819489666,0.0,0.0,7,10,7,-0.04417911004473635,,acfc8f7a07479fb13d5075d7181864ea7c341b44832d95320106c6265d81eaa8,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,32,32,33,64,33,64,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.5017166594399687,0.5017166594399687,334,29,19,10,455.85599464690154,-214.74766714644667,241.10832750045483,670.6036617933482,0.0,0.0,5,9,11,0.1826130516130776,,1925adb1a2939eae69f22e4b922940390284ee52a8a97dbc998361692e1c88f2,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,64,4,65,128,5,8,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.6020599913279624,0.20068666377598746,3,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,64,8,65,128,9,16,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.6020599913279624,0.3010299956639812,360,25,12,13,163.24600524562015,-167.860139157875,-4.614133912254843,331.10614440349514,-1.3488021334406732,1.3488021334406732,2,15,5,-0.0034946991794244675,,3431d61200d26af237f69eb06c3ecd2862c6f72a5c1f66c07f5dcb9656e441f2,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,64,16,65,128,17,32,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.6020599913279624,0.4013733275519749,326,26,13,13,235.7854476620838,-243.2220637094619,-7.436616047378097,479.0075113715457,-11.643883735587416,11.643883735587416,4,16,6,-0.005632419104578359,,3cfffc217fde5c24857058781197ef987bf4d0a782660f7abe1372b9780d26ae,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,128,2,129,256,4,4,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.7024033232159561,0.10034333188799373,6,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,128,4,129,256,5,8,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.7024033232159561,0.20068666377598746,382,22,13,9,158.63017081775868,-121.98549698229253,36.64467383546616,280.6156678000512,1.3488021334406732,1.3488021334406732,0,21,2,0.027754311864022,,d74ce7a4f13a4453a9e2ab6366b90a93e77d97a0eb673330c395531899b73139,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,128,8,129,256,9,16,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.7024033232159561,0.3010299956639812,301,25,14,11,157.49049569513335,-129.18331830623976,28.307177388893606,286.6738140013731,0.0,0.0,16,22,4,0.021439574896179477,,58c82e1f18803ab379f9ec337f81f0f7333dd13aeebedb5f8cc84dc2d57b4768,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
